emp_id,off_cde,rated_year,rating
100125,VAN,2020,8.5
100125,VAN,2021,9
100125,VAN,2022,8
100126,OTT,2017,7.5
100126,OTT,2018,9
100126,OTT,2019,9
100126,OTT,2020,8.5
100127,PHL,2017,6.5
100127,PHL,2018,8
100127,PHL,2019,8.5
100127,PHL,2020,6.5
100127,PHL,2021,10
100127,PHL,2022,9
100128,TOR,2017,8.5
100128,TOR,2018,9.5
100129,TOR,2017,9.5
100129,TOR,2018,9
100129,TOR,2019,7.5
100129,TOR,2020,7
100129,TOR,2021,9.5
100129,TOR,2022,9
100130,TOR,2017,7
100130,TOR,2018,9
100130,TOR,2019,8.5
100131,CAL,2017,8
100131,CAL,2018,9
100131,CAL,2019,8.5
100132,CAL,2017,7
100132,CAL,2018,7.5
100132,CAL,2019,6.5
100132,CAL,2020,6.5
100132,CAL,2021,10
100132,CAL,2022,9
100133,OTT,2017,9
100133,OTT,2018,6.5
100133,OTT,2019,7.5
100133,OTT,2020,8.5
100133,OTT,2021,9
100133,OTT,2022,8.5
100134,VAN,2017,8.5
100134,VAN,2018,8.5
100134,VAN,2019,8
100134,VAN,2020,7.5
100134,VAN,2021,8.5
100134,VAN,2022,9.5
100135,NYC,2017,7.5
100135,NYC,2018,8
100135,NYC,2019,7.5
100135,NYC,2020,6.5
100135,NYC,2021,6.5
100135,NYC,2022,7.5
100136,PHL,2017,9
100136,PHL,2018,8
100136,PHL,2019,7
100136,PHL,2020,7
100136,PHL,2021,9
100136,PHL,2022,9
100137,PHL,2017,4.5
100137,PHL,2018,5.5
100138,CAL,2017,7
100138,CAL,2018,9.5
100138,CAL,2019,8
100138,CAL,2020,8
100138,CAL,2021,10
100138,CAL,2022,9
100139,MKM,2017,6.5
100139,MKM,2018,6.5
100139,MKM,2019,9
100139,MKM,2020,8.5
100139,MKM,2021,9.5
100139,MKM,2022,8
100140,TOR,2017,5
100140,TOR,2018,3.5
100141,NYC,2017,6.5
100141,NYC,2018,7
100141,NYC,2019,8
100141,NYC,2020,6.5
100141,NYC,2021,7.5
100141,NYC,2022,7
100142,BOS,2017,7.5
100142,BOS,2018,7.5
100142,BOS,2019,8
100142,BOS,2020,6
100142,BOS,2021,6.5
100142,BOS,2022,7
100143,NYC,2017,8
100143,NYC,2018,7.5
100143,NYC,2019,7
100143,NYC,2020,7
100143,NYC,2021,7.5
100143,NYC,2022,7
100144,TOR,2017,7
100144,TOR,2018,7.5
100144,TOR,2019,9
100144,TOR,2020,8.5
100144,TOR,2021,8.5
100144,TOR,2022,8
100145,OTT,2017,8.5
100145,OTT,2018,9.5
100145,OTT,2019,8
100145,OTT,2020,8
100145,OTT,2021,8.5
100145,OTT,2022,9.5
100146,OTT,2017,9
100146,OTT,2018,9
100146,OTT,2019,7
100146,OTT,2020,9.5
100146,OTT,2021,9.5
100146,OTT,2022,9
100147,PHL,2017,9
100147,PHL,2018,7
100147,PHL,2019,9
100147,PHL,2020,9
100147,PHL,2021,9.5
100147,PHL,2022,10
100148,MKM,2017,6.5
100148,MKM,2018,9
100148,MKM,2019,6.5
100148,MKM,2020,7.5
100148,MKM,2021,9
100148,MKM,2022,8.5
100149,CAL,2017,7
100149,CAL,2018,7.5
100149,CAL,2019,8.5
100149,CAL,2020,9
100149,CAL,2021,9.5
100149,CAL,2022,8
100150,CAL,2017,7.5
100150,CAL,2018,6.5
100150,CAL,2019,8
100150,CAL,2020,8
100151,PHL,2017,9.5
100151,PHL,2018,9
100152,BOS,2017,6.5
100152,BOS,2018,7
100152,BOS,2019,8
100152,BOS,2020,7.5
100152,BOS,2021,6
100152,BOS,2022,7
100153,TOR,2017,8
100153,TOR,2018,7
100153,TOR,2019,8
100153,TOR,2020,8.5
100153,TOR,2021,8.5
100153,TOR,2022,8.5
100154,MKM,2017,9
100154,MKM,2018,9
100154,MKM,2019,7.5
100154,MKM,2020,9
100154,MKM,2021,10
100154,MKM,2022,9
100155,MKM,2017,8.5
100155,MKM,2018,9
100155,MKM,2019,9.5
100155,MKM,2020,7.5
100155,MKM,2021,10
100155,MKM,2022,9.5
100156,NYC,2017,6
100156,NYC,2018,7.5
100156,NYC,2019,7
100156,NYC,2020,7.5
100156,NYC,2021,6.5
100156,NYC,2022,6.5
100157,VAN,2017,7
100157,VAN,2018,8.5
100157,VAN,2019,7.5
100157,VAN,2020,9
100157,VAN,2021,9.5
100157,VAN,2022,10
100158,MKM,2017,3
100158,MKM,2018,3.5
100159,BOS,2017,7
100159,BOS,2018,7.5
100159,BOS,2019,6.5
100159,BOS,2020,7.5
100159,BOS,2021,7.5
100159,BOS,2022,7
100160,TOR,2017,10
100160,TOR,2018,9.5
100161,VAN,2017,7.5
100161,VAN,2018,6.5
100161,VAN,2019,7
100161,VAN,2020,7
100161,VAN,2021,9
100161,VAN,2022,9.5
100162,BOS,2017,6
100162,BOS,2018,6.5
100162,BOS,2019,7.5
100162,BOS,2020,6.5
100162,BOS,2021,7.5
100162,BOS,2022,6
100163,VAN,2017,7.5
100163,VAN,2018,9
100163,VAN,2019,7
100163,VAN,2020,9
100163,VAN,2021,8.5
100163,VAN,2022,10
100164,NYC,2017,6.5
100164,NYC,2018,7
100165,OTT,2017,7
100165,OTT,2018,7
100165,OTT,2019,8.5
100165,OTT,2020,9
100165,OTT,2021,5
100165,OTT,2022,6
100166,NYC,2017,6.5
100166,NYC,2018,6.5
100166,NYC,2019,7
100166,NYC,2020,7.5
100166,NYC,2021,8
100167,PHL,2017,7
100167,PHL,2018,9
100167,PHL,2019,9
100167,PHL,2020,7.5
100167,PHL,2021,9
100167,PHL,2022,9.5
100168,NYC,2017,6.5
100168,NYC,2018,6
100168,NYC,2019,6
100168,NYC,2020,7.5
100168,NYC,2021,7
100168,NYC,2022,6
100169,TOR,2017,9
100169,TOR,2018,9
100169,TOR,2019,9
100169,TOR,2020,7.5
100169,TOR,2021,9
100169,TOR,2022,10
100170,VAN,2017,9
100170,VAN,2018,8.5
100170,VAN,2019,8.5
100170,VAN,2020,6.5
100170,VAN,2021,9
100170,VAN,2022,8
100171,OTT,2017,8.5
100171,OTT,2018,7.5
100171,OTT,2019,8.5
100171,OTT,2020,7.5
100171,OTT,2021,9
100171,OTT,2022,8
100172,TOR,2017,9
100172,TOR,2018,8
100172,TOR,2019,9.5
100172,TOR,2020,10
100173,OTT,2017,8.5
100173,OTT,2018,8.5
100173,OTT,2019,9
100173,OTT,2020,8.5
100173,OTT,2021,9.5
100173,OTT,2022,8.5
100174,VAN,2017,7.5
100174,VAN,2018,9
100174,VAN,2019,8
100174,VAN,2020,7.5
100174,VAN,2021,9.5
100174,VAN,2022,9
100175,TOR,2017,9
100175,TOR,2018,8
100175,TOR,2019,8
100175,TOR,2020,10
100176,OTT,2017,7.5
100176,OTT,2018,6.5
100176,OTT,2019,8.5
100176,OTT,2020,8.5
100176,OTT,2021,9.5
100176,OTT,2022,9
100177,NYC,2017,6.5
100177,NYC,2018,7
100177,NYC,2019,7.5
100177,NYC,2020,6
100178,CAL,2017,7
100178,CAL,2018,7.5
100178,CAL,2019,9.5
100178,CAL,2020,9
100179,TOR,2017,8
100179,TOR,2018,7
100179,TOR,2019,8
100179,TOR,2020,9
100179,TOR,2021,8.5
100179,TOR,2022,9
100180,OTT,2017,7
100180,OTT,2018,8.5
100180,OTT,2019,7
100180,OTT,2020,7
100180,OTT,2021,8
100180,OTT,2022,9
100181,BOS,2017,7
100181,BOS,2018,6.5
100181,BOS,2019,6.5
100181,BOS,2020,7.5
100181,BOS,2021,7.5
100181,BOS,2022,6.5
100182,NYC,2017,8
100182,NYC,2018,7.5
100182,NYC,2019,7.5
100182,NYC,2020,7
100183,OTT,2017,7
100183,OTT,2018,7
100183,OTT,2019,8.5
100183,OTT,2020,6.5
100183,OTT,2021,9.5
100183,OTT,2022,9
100184,BOS,2017,7
100184,BOS,2018,7
100184,BOS,2019,6
100184,BOS,2020,6.5
100185,CAL,2017,9
100185,CAL,2018,7
100185,CAL,2019,6.5
100185,CAL,2020,8
100185,CAL,2021,8.5
100185,CAL,2022,9
100186,MKM,2017,7
100186,MKM,2018,9.5
100186,MKM,2019,9
100186,MKM,2020,6.5
100186,MKM,2021,8.5
100186,MKM,2022,9
100187,CAL,2017,7.5
100187,CAL,2018,9.5
100187,CAL,2019,8.5
100187,CAL,2020,6
100187,CAL,2021,4
100188,MKM,2017,9
100188,MKM,2018,8
100188,MKM,2019,8
100188,MKM,2020,3.5
100188,MKM,2021,3.5
100189,PHL,2017,7.5
100189,PHL,2018,7
100189,PHL,2019,7
100189,PHL,2020,7.5
100189,PHL,2021,10
100189,PHL,2022,9.5
100190,CAL,2017,9
100190,CAL,2018,9
100190,CAL,2019,8.5
100190,CAL,2020,7.5
100190,CAL,2021,8.5
100190,CAL,2022,9
100191,PHL,2017,9
100191,PHL,2018,8.5
100192,VAN,2017,8
100192,VAN,2018,9.5
100192,VAN,2019,6.5
100192,VAN,2020,8.5
100192,VAN,2021,8.5
100192,VAN,2022,9.5
100193,NYC,2017,6
100193,NYC,2018,8
100193,NYC,2019,6.5
100193,NYC,2020,7.5
100193,NYC,2021,7.5
100193,NYC,2022,7.5
100194,OTT,2017,8.5
100194,OTT,2018,8
100194,OTT,2019,9
100194,OTT,2020,9
100194,OTT,2021,8.5
100194,OTT,2022,8.5
100195,NYC,2017,7
100195,NYC,2018,8
100195,NYC,2019,7.5
100195,NYC,2020,7.5
100196,MKM,2017,9.5
100196,MKM,2018,8
100197,TOR,2017,8.5
100197,TOR,2018,6.5
100197,TOR,2019,4.5
100198,CAL,2017,8
100198,CAL,2018,7
100198,CAL,2019,9.5
100198,CAL,2020,8.5
100198,CAL,2021,10
100198,CAL,2022,8.5
100199,BOS,2017,6.5
100199,BOS,2018,7
100199,BOS,2019,6.5
100199,BOS,2020,6
100199,BOS,2021,7
100199,BOS,2022,6
100200,BOS,2017,6.5
100200,BOS,2018,6
100201,MKM,2017,9
100201,MKM,2018,7
100201,MKM,2019,8.5
100201,MKM,2020,6.5
100201,MKM,2021,9.5
100201,MKM,2022,9.5
100202,PHL,2017,9
100202,PHL,2018,6.5
100202,PHL,2019,8
100202,PHL,2020,9.5
100202,PHL,2021,10
100202,PHL,2022,9
100203,VAN,2017,9.5
100203,VAN,2018,7
100203,VAN,2019,6.5
100203,VAN,2020,6.5
100203,VAN,2021,9
100203,VAN,2022,9.5
100204,MKM,2017,8.5
100204,MKM,2018,8.5
100204,MKM,2019,7.5
100204,MKM,2020,9
100204,MKM,2021,8.5
100204,MKM,2022,10
100205,BOS,2017,7
100205,BOS,2018,6.5
100205,BOS,2019,8
100205,BOS,2020,7
100205,BOS,2021,7
100205,BOS,2022,7.5
100206,PHL,2017,6.5
100206,PHL,2018,8.5
100206,PHL,2019,7.5
100206,PHL,2020,9.5
100206,PHL,2021,9
100206,PHL,2022,8.5
100207,MKM,2017,6.5
100207,MKM,2018,7
100207,MKM,2019,7.5
100207,MKM,2020,9.5
100207,MKM,2021,9
100207,MKM,2022,9
100208,MKM,2017,8.5
100208,MKM,2018,8
100209,VAN,2017,7
100209,VAN,2018,9
100209,VAN,2019,9
100209,VAN,2020,8
100209,VAN,2021,8
100209,VAN,2022,10
100210,MKM,2017,8.5
100210,MKM,2018,9
100210,MKM,2019,7.5
100210,MKM,2020,9
100210,MKM,2021,8.5
100210,MKM,2022,9
100211,BOS,2017,6
100211,BOS,2018,6
100211,BOS,2019,6.5
100211,BOS,2020,7.5
100211,BOS,2021,8
100211,BOS,2022,7.5
100212,BOS,2017,7.5
100212,BOS,2018,7
100212,BOS,2019,6.5
100213,CAL,2017,7.5
100213,CAL,2018,9
100213,CAL,2019,7.5
100213,CAL,2020,6.5
100213,CAL,2021,9.5
100213,CAL,2022,9.5
100214,CAL,2017,9.5
100214,CAL,2018,9.5
100214,CAL,2019,8.5
100214,CAL,2020,8
100214,CAL,2021,9
100214,CAL,2022,9
100215,OTT,2017,9
100215,OTT,2018,10
100215,OTT,2019,9.5
100216,MKM,2017,8
100216,MKM,2018,8
100216,MKM,2019,8
100216,MKM,2020,5
100216,MKM,2021,5.5
100217,BOS,2017,6
100217,BOS,2018,7
100218,NYC,2017,6
100218,NYC,2018,7.5
100218,NYC,2019,6.5
100218,NYC,2020,7.5
100218,NYC,2021,7.5
