EmployeeID,JoiningYear,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,LeavingYear,Reason,RelievingStatus,office_code,JobLevel_updated
100012,2008,51,Travel_Rarely,753,Corporate Functions,6,Doctorate,1,1341,3,Male,60,1,2,Married,15590,24835,7,Y,No,11,4,3,80,0,31,2,1,10,4,5,4,Yes,2018,career change,Voluntary,MKM,L6
100013,2008,51,Travel_Rarely,708,Corporate Functions,12,Bachelors,1,590,3,Male,92,2,2,Married,10389,2944,4,Y,Yes,12,3,4,80,1,32,2,2,11,3,4,3,Yes,2019,long hours,Voluntary,NYC,L6
100014,2008,52,Travel_Rarely,264,Product,18,Bachelors,1,442,3,Male,88,2,3,Married,10193,3834,1,Y,No,11,4,4,80,1,34,3,2,12,4,5,3,Yes,2020,retiring,Voluntary,PHL,L2
100015,2008,51,Travel_Rarely,418,Corporate Functions,3,Diploma,1,1163,1,Male,61,1,3,Married,18567,25535,2,Y,Yes,14,5,3,80,0,31,3,2,11,5,3,4,Yes,2019,unhappy,Voluntary,PHL,L6
100016,2008,51,Travel_Rarely,262,Corporate Functions,16,Doctorate,1,405,3,Male,81,2,4,Married,10315,4081,1,Y,No,11,3,3,80,1,32,3,2,12,4,4,3,Yes,2020,retiring,Voluntary,VAN,L6
100017,2008,57,Travel_Rarely,292,Corporate Functions,23,Diploma,1,421,3,Male,90,3,3,Married,10331,3802,1,Y,Yes,12,5,3,80,0,36,2,2,12,3,5,2,Yes,2020,long hours,Voluntary,PHL,L6
100018,2009,55,Travel_Rarely,685,Corporate Functions,26,Diploma,1,1578,3,Male,60,2,4,Married,19586,23037,1,Y,No,21,4,3,80,1,36,3,3,13,3,1,5,No,,,,VAN,L7
100019,2009,53,Travel_Rarely,230,Sales,18,Doctorate,1,339,3,Male,84,2,4,Married,10314,3912,1,Y,No,11,5,3,80,1,34,3,2,12,4,5,3,Yes,2021,retiring,Voluntary,TOR,L3
100020,2009,58,Travel_Rarely,682,Corporate Functions,10,Masters,1,131,4,Male,37,3,3,Single,13872,24409,0,Y,No,13,3,3,80,0,38,1,2,13,4,1,3,No,,,,CAL,L7
100021,2009,44,Travel_Rarely,429,Corporate Functions,13,Diploma,1,1012,3,Male,51,3,1,Married,13225,2604,0,Y,No,12,5,2,80,0,24,2,2,9,4,5,5,Yes,2018,reallocation out of the area,Voluntary,MKM,L6
100022,2009,50,Travel_Rarely,632,Corporate Functions,4,Doctorate,1,966,3,Female,72,2,4,Married,9939,14192,0,Y,No,16,5,2,80,0,23,3,3,9,3,1,3,Yes,2018,unhappy,Voluntary,NYC,L6
100023,2009,54,Travel_Rarely,685,Corporate Functions,25,Masters,1,1556,2,Female,60,2,3,Married,19577,23034,1,Y,No,20,3,3,80,0,35,2,2,13,2,1,5,No,,,,BOS,L7
100024,2009,56,Travel_Rarely,618,Sales,12,Masters,1,386,3,Female,46,2,3,Single,13969,24416,0,Y,No,13,3,3,80,0,36,1,2,13,4,2,3,No,,,,VAN,L4
100025,2009,58,Travel_Rarely,286,Corporate Functions,2,Doctorate,1,825,4,Male,31,3,2,Single,19246,25761,7,Y,Yes,12,4,4,80,0,40,2,3,11,6,5,3,Yes,2020,retiring,Voluntary,TOR,L6
100026,2009,54,Travel_Rarely,689,Corporate Functions,25,Masters,1,1542,3,Female,60,2,4,Divorced,19584,23067,1,Y,No,20,3,3,80,1,35,3,2,13,2,1,5,No,,,,TOR,L7
100027,2009,54,Travel_Rarely,450,HR,1,Bachelors,1,378,4,Male,81,3,1,Divorced,19049,18939,0,Y,No,14,3,2,80,0,36,2,2,13,4,2,5,No,,,,VAN,L5
100028,2009,53,Travel_Rarely,271,Corporate Functions,2,Diploma,1,983,1,Male,50,1,3,Married,19691,25824,2,Y,Yes,14,5,4,80,0,34,2,3,11,5,3,3,Yes,2020,offered more money,Voluntary,VAN,L6
100029,2009,50,Travel_Rarely,586,Corporate Functions,4,Masters,1,1300,1,Male,66,1,3,Married,17171,25195,3,Y,Yes,13,3,3,80,0,29,3,2,10,4,4,4,Yes,2019,unhappy,Voluntary,TOR,L6
100030,2009,55,Travel_Rarely,452,Delivery,1,Doctorate,1,374,4,Male,81,3,1,Single,19045,18938,0,Y,Yes,14,3,3,80,0,37,2,3,13,4,2,5,No,,,,CAL,L5
100031,2009,47,Travel_Frequently,1093,Corporate Functions,9,Diploma,1,1716,3,Male,82,1,3,Married,12936,24164,7,Y,No,11,5,3,80,0,25,3,1,9,2,5,4,Yes,2018,long hours,Voluntary,NYC,L6
100032,2010,46,Travel_Rarely,1120,Corporate Functions,5,Doctorate,1,904,2,Male,91,2,1,Married,10446,2562,7,Y,Yes,13,5,4,80,1,27,1,2,9,3,2,3,Yes,2019,return to school,Voluntary,CAL,L6
100033,2010,54,Travel_Rarely,523,Sales,15,Diploma,1,770,3,Female,60,2,3,Single,14116,24427,0,Y,No,13,3,3,80,0,35,1,2,12,3,3,3,No,,,,VAN,L4
100034,2010,57,Travel_Rarely,730,Corporate Functions,9,Diploma,1,130,3,Female,39,3,3,Single,13842,24372,0,Y,No,12,3,2,80,0,36,1,1,12,4,1,3,No,,,,MKM,L6
100035,2010,42,Travel_Rarely,779,Marketing,8,Doctorate,1,1144,2,Male,59,2,1,Married,12666,2406,2,Y,Yes,12,5,2,80,0,22,1,2,8,3,4,4,Yes,2018,unhappy,Voluntary,VAN,L3
100036,2010,49,Travel_Rarely,906,Corporate Functions,9,Doctorate,1,741,2,Male,92,2,2,Married,10417,2761,5,Y,Yes,13,4,4,80,1,30,1,2,10,3,3,3,Yes,2020,long hours,Voluntary,BOS,L6
100037,2010,51,Travel_Rarely,770,Corporate Functions,5,Masters,1,1352,3,Male,84,3,2,Divorced,14026,17588,1,Y,Yes,11,3,2,80,1,33,2,3,12,4,1,4,No,,,,TOR,L6
100038,2010,42,Travel_Rarely,618,Corporate Functions,10,Diploma,1,1156,2,Male,51,2,1,Married,13252,2428,1,Y,Yes,12,5,2,80,0,22,1,2,8,3,4,5,Yes,2018,medical issues,Voluntary,NYC,L3
100039,2010,44,Travel_Rarely,1379,Sales,1,Masters,1,1105,1,Male,91,1,1,Single,10832,2333,8,Y,Yes,14,5,3,80,0,24,1,3,8,3,1,3,Yes,2018,reallocation out of the area,Voluntary,NYC,L3
100040,2010,50,Travel_Frequently,333,Corporate Functions,22,Doctorate,1,1539,3,Male,88,1,4,Single,14411,24450,1,Y,Yes,13,3,4,80,0,32,2,3,12,3,5,4,No,,,,BOS,L6
100041,2010,52,Non-Travel,771,Corporate Functions,2,Doctorate,1,329,1,Male,79,2,3,Single,19068,21030,1,Y,Yes,18,3,4,80,0,33,2,4,12,3,6,5,No,,,,MKM,L6
100042,2010,50,Non-Travel,762,Corporate Functions,2,Masters,1,338,1,Male,76,2,3,Married,19084,21039,1,Y,No,17,3,3,80,0,32,2,3,12,3,5,4,No,,,,PHL,L6
100043,2010,52,Travel_Rarely,621,Delivery,3,Masters,1,776,3,Male,31,2,1,Married,16856,10084,1,Y,No,11,3,1,80,0,34,3,4,12,3,1,6,No,,,,MKM,L4
100044,2010,50,Travel_Frequently,1246,Corporate Functions,3,Diploma,1,644,1,Male,99,3,2,Married,18200,7999,1,Y,No,11,3,3,80,1,32,2,3,12,2,4,3,No,,,,MKM,L6
100045,2010,50,Travel_Rarely,783,Corporate Functions,4,Bachelors,1,1331,3,Male,82,2,1,Single,14066,17600,1,Y,Yes,11,3,1,80,1,32,2,2,12,3,1,4,No,,,,BOS,L6
100046,2010,49,Travel_Rarely,302,Corporate Functions,14,Doctorate,1,489,3,Male,76,2,4,Married,10317,4295,1,Y,Yes,11,5,2,80,1,30,4,2,11,3,4,3,Yes,2021,career change,Voluntary,CAL,L6
100047,2010,53,Travel_Rarely,270,Corporate Functions,2,Diploma,1,992,1,Male,51,1,3,Married,19717,25827,2,Y,Yes,14,3,4,80,0,34,2,3,11,5,3,3,Yes,2021,reallocation out of the area,Voluntary,NYC,L6
100048,2010,54,Travel_Rarely,542,Corporate Functions,1,Masters,1,470,4,Male,77,3,1,Divorced,18993,18903,0,Y,No,14,3,2,80,0,35,2,3,12,4,2,5,No,,,,CAL,L6
100049,2010,51,Travel_Rarely,756,Marketing,6,Diploma,1,1345,3,Male,60,1,2,Married,15563,24828,7,Y,No,11,4,3,80,0,31,2,1,10,4,5,4,Yes,2020,unhappy,Voluntary,NYC,L4
100050,2010,45,Travel_Rarely,1383,Corporate Functions,2,Diploma,1,1282,1,Male,93,1,2,Single,18541,2866,2,Y,Yes,16,4,1,80,0,25,2,2,9,4,1,4,Yes,2019,unhappy,Voluntary,CAL,L6
100051,2010,54,Travel_Rarely,419,Corporate Functions,2,Bachelors,1,512,4,Male,81,3,1,Divorced,19167,18977,0,Y,No,15,3,2,80,0,36,2,2,12,4,2,5,No,,,,CAL,L6
100052,2010,40,Travel_Rarely,1095,Delivery,9,Masters,1,302,1,Male,56,3,3,Married,17860,15655,2,Y,Yes,11,4,4,80,0,22,0,3,8,5,5,3,Yes,2018,career change,Voluntary,BOS,L4
100053,2010,52,Travel_Rarely,662,Corporate Functions,3,Bachelors,1,765,3,Female,30,2,1,Married,16841,10094,1,Y,No,11,3,1,80,0,33,2,3,12,2,1,6,No,,,,VAN,L6
100054,2010,55,Non-Travel,177,Sales,8,Masters,1,1278,4,Male,37,2,2,Divorced,13577,25592,1,Y,Yes,15,3,4,80,1,34,3,3,12,4,6,1,No,,,,BOS,L4
100055,2010,52,Travel_Rarely,699,Marketing,1,Masters,1,259,3,Male,65,2,3,Married,19999,5678,0,Y,No,14,3,1,80,1,34,5,3,12,7,4,4,No,,,,OTT,L5
100056,2010,51,Travel_Rarely,273,Corporate Functions,18,Diploma,1,543,3,Male,75,3,2,Married,11613,3080,0,Y,No,12,3,3,80,0,33,2,2,12,4,5,4,Yes,2022,medical issues,Voluntary,CAL,L6
100057,2010,43,Travel_Rarely,963,HR,6,Doctorate,1,1129,2,Male,69,2,1,Married,11993,2381,4,Y,Yes,13,5,3,80,0,23,1,2,8,3,3,4,Yes,2018,unhappy,Voluntary,VAN,L3
100058,2010,50,Travel_Rarely,786,Corporate Functions,11,Bachelors,1,650,2,Male,92,2,2,Married,10400,2872,5,Y,Yes,13,3,4,80,1,31,1,2,11,3,3,3,Yes,2021,offered more money,Voluntary,PHL,L6
100059,2010,51,Travel_Rarely,731,Corporate Functions,1,Bachelors,1,263,2,Male,64,2,3,Married,19973,5690,0,Y,No,14,3,1,80,1,33,5,3,12,6,4,4,No,,,,BOS,L6
100060,2010,51,Travel_Rarely,274,Corporate Functions,18,Bachelors,1,548,3,Male,74,3,2,Married,11630,3075,0,Y,Yes,12,2,3,80,0,33,2,2,12,4,5,4,Yes,2022,Misconduct,Involuntary,NYC,L6
100061,2010,51,Travel_Rarely,718,Corporate Functions,1,Diploma,1,258,3,Male,63,2,3,Married,19935,5732,0,Y,No,14,3,1,80,1,33,4,3,12,6,4,4,No,,,,OTT,L6
100062,2010,55,Travel_Rarely,485,Corporate Functions,1,Masters,1,476,4,Male,82,3,1,Married,19158,18892,0,Y,Yes,13,3,3,80,0,35,2,3,12,3,2,4,No,,,,MKM,L6
100063,2010,47,Travel_Rarely,1058,Marketing,6,Doctorate,1,856,2,Male,91,2,1,Married,10438,2620,6,Y,Yes,13,4,4,80,1,28,1,2,9,3,3,3,Yes,2019,career change,Voluntary,MKM,L3
100064,2010,51,Travel_Rarely,689,HR,1,Doctorate,1,262,3,Male,64,2,3,Married,19953,5633,0,Y,No,13,3,1,80,0,33,4,3,12,6,4,4,No,,,,PHL,L5
100065,2010,52,Travel_Rarely,266,Corporate Functions,2,Diploma,1,1038,1,Female,57,1,4,Married,19845,25846,1,Y,No,15,2,4,80,1,33,3,3,12,5,3,4,Yes,2022,Misconduct,Involuntary,BOS,L6
100066,2010,52,Travel_Rarely,607,Corporate Functions,2,Masters,1,1559,2,Male,77,2,4,Single,10068,14593,0,Y,No,15,4,2,80,1,32,3,3,11,3,1,3,Yes,2021,reallocation out of the area,Voluntary,CAL,L6
100067,2011,52,Travel_Rarely,584,Delivery,10,Diploma,1,1346,1,Male,87,3,2,Single,15074,7452,4,Y,Yes,16,4,2,80,0,24,2,2,8,3,1,3,Yes,2019,career change,Voluntary,NYC,L4
100068,2011,54,Travel_Rarely,711,Corporate Functions,22,Diploma,1,1380,3,Female,61,2,4,Married,19575,23206,1,Y,No,19,3,3,80,1,35,3,2,11,2,1,4,No,,,,PHL,L6
100069,2011,51,Travel_Frequently,237,Corporate Functions,9,Bachelors,1,1282,4,Male,83,3,2,Divorced,19847,19196,4,Y,Yes,24,4,1,80,1,31,5,2,11,4,4,4,No,,,,NYC,L6
100070,2011,48,Travel_Rarely,1009,Corporate Functions,7,Bachelors,1,819,2,Male,91,2,1,Married,10431,2665,6,Y,Yes,13,3,4,80,1,28,1,2,9,3,3,3,Yes,2020,unhappy,Voluntary,MKM,L6
100071,2011,51,Travel_Rarely,522,Sales,13,Masters,1,1778,3,Male,61,2,2,Married,10461,15459,1,Y,No,14,4,2,80,1,28,3,3,8,2,1,2,Yes,2019,retiring,Voluntary,CAL,L3
100072,2011,50,Travel_Rarely,1209,Corporate Functions,19,Diploma,1,1608,2,Male,42,2,3,Single,11234,20682,2,Y,Yes,15,3,3,80,1,31,2,3,11,3,4,5,No,,,,TOR,L6
100073,2011,44,Travel_Rarely,353,Corporate Functions,2,Doctorate,1,1293,1,Female,81,2,4,Married,11421,13947,4,Y,No,12,5,3,80,2,25,4,3,9,3,3,3,Yes,2020,maternity leave - did not return,Voluntary,TOR,L6
100074,2011,49,Travel_Rarely,336,Corporate Functions,15,Masters,1,610,3,Male,84,2,3,Married,10121,4057,1,Y,Yes,11,3,4,80,1,30,3,2,11,4,5,3,Yes,2022,long hours,Voluntary,VAN,L6
100075,2011,51,Travel_Rarely,427,Delivery,3,Masters,1,880,1,Male,56,1,4,Married,18160,25718,1,Y,Yes,15,5,4,80,0,30,2,3,10,4,2,3,Yes,2021,career change,Voluntary,CAL,L4
100076,2011,49,Travel_Rarely,906,Marketing,2,Masters,1,915,1,Male,97,3,1,Married,17904,4606,1,Y,No,11,3,3,80,1,30,3,3,11,2,5,3,No,,,,NYC,L4
100077,2011,57,Travel_Rarely,788,Corporate Functions,8,Bachelors,1,130,3,Female,41,3,3,Single,13807,24327,1,Y,No,12,3,2,80,0,33,1,1,11,3,1,3,No,,,,BOS,L6
100078,2011,39,Travel_Frequently,203,Delivery,2,Bachelors,1,1127,1,Male,84,3,4,Divorced,12169,13547,7,Y,No,11,4,4,80,3,21,4,3,7,3,4,2,Yes,2018,retiring,Voluntary,VAN,L4
100079,2011,52,Travel_Rarely,677,Corporate Functions,4,Diploma,1,755,2,Female,36,2,1,Married,16853,10060,1,Y,No,12,3,1,80,0,34,2,3,11,3,1,5,No,,,,OTT,L6
100080,2011,43,Travel_Rarely,904,Sales,7,Doctorate,1,1215,2,Male,65,2,1,Single,15976,2467,0,Y,Yes,13,4,1,80,0,23,2,2,8,4,3,5,Yes,2019,retiring,Voluntary,PHL,L4
100081,2011,57,Travel_Rarely,317,Corporate Functions,2,Diploma,1,822,4,Male,34,3,1,Married,19290,25429,6,Y,No,12,1,4,80,0,38,2,3,11,5,5,3,Yes,2022,Misconduct,Involuntary,PHL,L6
100082,2011,51,Travel_Rarely,540,Product,10,Bachelors,1,1734,3,Male,64,2,2,Married,10399,15280,1,Y,No,14,3,2,80,1,29,3,3,8,2,1,2,Yes,2019,offered more money,Voluntary,PHL,L3
100083,2011,52,Travel_Rarely,727,Corporate Functions,3,Masters,1,747,3,Female,30,2,1,Married,16819,10111,1,Y,No,11,3,1,80,0,33,2,3,11,2,1,5,No,,,,VAN,L6
100084,2011,52,Travel_Rarely,268,Corporate Functions,2,Doctorate,1,1011,1,Male,53,1,3,Married,19769,25835,1,Y,Yes,14,1,4,80,0,33,2,3,11,5,3,3,Yes,2022,Misconduct,Involuntary,PHL,L6
100085,2011,50,Travel_Rarely,611,Corporate Functions,5,Bachelors,1,1490,2,Male,76,2,4,Married,9525,14458,0,Y,No,14,5,2,80,1,26,3,3,10,3,1,3,Yes,2021,career change,Voluntary,MKM,L6
100086,2011,60,Travel_Rarely,422,Corporate Functions,7,Masters,1,549,1,Female,41,3,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,11,3,4,4,No,,,,CAL,L6
100087,2011,49,Travel_Rarely,394,Corporate Functions,1,Diploma,1,525,4,Male,71,2,1,Divorced,19105,19199,0,Y,No,13,3,2,80,0,30,2,3,11,3,2,4,No,,,,PHL,L6
100088,2011,49,Travel_Rarely,1238,Corporate Functions,3,Doctorate,1,675,1,Male,98,3,2,Married,18200,8036,1,Y,No,11,3,3,80,1,31,2,3,11,2,4,3,No,,,,NYC,L6
100089,2011,48,Travel_Rarely,782,Corporate Functions,3,Bachelors,1,843,1,Female,98,3,1,Married,17813,4648,1,Y,No,11,3,4,80,0,29,3,3,11,3,5,3,No,,,,OTT,L6
100090,2011,48,Travel_Rarely,893,Corporate Functions,1,Masters,1,284,2,Male,60,2,3,Married,19845,5751,0,Y,No,15,3,1,80,1,30,5,3,11,6,3,4,No,,,,OTT,L6
100091,2011,49,Travel_Rarely,849,Corporate Functions,2,Diploma,1,885,1,Female,98,3,1,Married,17888,4577,1,Y,No,11,3,4,80,0,30,3,3,11,3,5,3,No,,,,OTT,L6
100092,2011,49,Travel_Rarely,1245,Corporate Functions,18,Doctorate,1,638,4,Male,58,2,3,Divorced,19502,2125,1,Y,Yes,17,3,3,80,1,31,5,3,11,4,1,4,No,,,,VAN,L6
100093,2011,51,Travel_Frequently,826,Corporate Functions,6,Bachelors,1,1353,3,Female,82,3,2,Married,13967,17648,1,Y,No,11,3,1,80,1,33,1,3,11,4,1,4,No,,,,MKM,L6
100094,2011,43,Travel_Rarely,447,Corporate Functions,11,Doctorate,1,872,2,Male,78,2,2,Married,10008,4406,1,Y,Yes,11,2,4,80,1,24,3,2,9,3,4,3,Yes,2020,Misconduct,Involuntary,MKM,L6
100095,2011,50,Travel_Rarely,543,Corporate Functions,3,Masters,1,924,3,Female,34,2,1,Married,16806,10340,2,Y,No,11,3,1,80,0,31,2,4,11,3,1,5,No,,,,MKM,L6
100096,2011,50,Non-Travel,881,Corporate Functions,2,Bachelors,1,905,1,Male,98,3,1,Divorced,17924,4544,1,Y,No,11,3,4,80,1,31,3,3,11,3,5,3,No,,,,OTT,L6
100097,2011,49,Travel_Rarely,877,Corporate Functions,2,Bachelors,1,904,1,Male,97,3,1,Married,17913,4552,1,Y,No,11,3,3,80,1,30,3,3,11,2,5,3,No,,,,MKM,L6
100098,2011,52,Travel_Rarely,302,Corporate Functions,6,Diploma,1,1003,4,Male,82,3,1,Divorced,19601,19116,2,Y,No,20,3,1,80,0,32,4,2,11,4,3,4,No,,,,VAN,L6
100099,2011,57,Travel_Rarely,427,Marketing,2,Bachelors,1,812,4,Male,46,3,1,Married,19443,24293,6,Y,No,12,3,4,80,0,34,2,3,8,4,4,3,Yes,2019,medical issues,Voluntary,MKM,L5
100100,2011,52,Travel_Rarely,301,Marketing,6,Diploma,1,1010,4,Male,82,3,1,Divorced,19606,19118,2,Y,No,21,3,1,80,0,32,4,2,11,4,3,4,No,,,,NYC,L5
100101,2011,47,Travel_Rarely,362,Corporate Functions,15,Masters,1,811,3,Male,61,3,2,Married,12535,2808,0,Y,No,12,5,2,80,0,28,2,2,10,4,5,4,Yes,2021,reallocation out of the area,Voluntary,TOR,L6
100102,2011,50,Travel_Rarely,943,Corporate Functions,20,Bachelors,1,636,2,Female,69,2,2,Married,16984,9564,0,Y,No,13,3,1,80,0,29,2,3,11,3,4,4,No,,,,VAN,L6
100103,2011,49,Travel_Rarely,855,Corporate Functions,2,Masters,1,889,1,Male,98,3,1,Married,17895,4571,1,Y,No,11,3,4,80,0,30,3,3,11,3,5,3,No,,,,TOR,L6
100104,2011,52,Non-Travel,807,Corporate Functions,2,Bachelors,1,336,1,Male,74,2,3,Married,18885,21028,1,Y,No,17,3,4,80,0,31,2,3,11,3,5,4,No,,,,BOS,L6
100105,2011,51,Travel_Rarely,406,Delivery,2,Diploma,1,901,1,Male,56,1,4,Married,18383,25735,1,Y,Yes,15,4,4,80,0,30,2,3,10,5,2,3,Yes,2021,unhappy,Voluntary,VAN,L4
100106,2011,49,Travel_Rarely,397,Corporate Functions,1,Doctorate,1,515,4,Male,72,2,1,Divorced,19101,19182,0,Y,No,13,3,2,80,0,31,2,3,11,3,2,4,No,,,,TOR,L6
100107,2011,50,Travel_Rarely,731,Marketing,19,Bachelors,1,1675,2,Female,67,2,3,Married,19520,22868,3,Y,No,18,3,3,80,0,30,2,3,11,3,2,5,No,,,,PHL,L5
100108,2011,50,Travel_Frequently,1234,Delivery,20,Masters,1,1606,2,Male,41,3,3,Married,11245,20689,2,Y,Yes,15,3,3,80,1,32,3,3,11,3,5,5,No,,,,CAL,L4
100109,2011,51,Travel_Rarely,729,Corporate Functions,19,Doctorate,1,1671,2,Male,66,2,3,Married,19522,22875,2,Y,No,18,3,3,80,0,31,2,3,11,3,2,5,No,,,,MKM,L6
100110,2011,47,Travel_Rarely,928,Corporate Functions,7,Bachelors,1,1580,2,Male,77,1,3,Married,14312,24499,5,Y,Yes,11,3,3,80,0,26,3,1,9,3,5,4,Yes,2020,unhappy,Voluntary,MKM,L6
100111,2011,52,Travel_Rarely,309,Corporate Functions,2,Doctorate,1,1013,1,Male,59,1,3,Married,19846,25400,1,Y,No,14,2,4,80,1,32,2,3,11,5,2,3,Yes,2022,Misconduct,Involuntary,NYC,L6
100112,2011,39,Travel_Rarely,1058,HR,7,Diploma,1,431,1,Male,47,2,3,Divorced,15882,15723,2,Y,Yes,11,3,3,80,0,20,0,2,7,4,5,3,Yes,2018,retiring,Voluntary,CAL,L4
100113,2011,54,Travel_Rarely,273,Corporate Functions,2,Masters,1,962,2,Male,47,1,3,Married,19632,25815,3,Y,No,13,2,4,80,0,35,2,3,11,5,3,3,Yes,2022,Misconduct,Involuntary,BOS,L6
100114,2011,49,Travel_Rarely,1228,Corporate Functions,3,Diploma,1,720,1,Male,97,3,2,Married,18201,8090,1,Y,No,11,3,3,80,1,31,2,3,11,2,4,3,No,,,,PHL,L6
100115,2011,53,Travel_Rarely,523,HR,1,Diploma,1,507,3,Male,83,2,1,Divorced,19150,18890,0,Y,No,14,3,2,80,0,35,2,3,11,4,2,5,No,,,,VAN,L5
100116,2011,49,Travel_Rarely,1240,HR,2,Bachelors,1,650,1,Male,98,2,2,Married,18200,8007,1,Y,No,11,3,3,80,0,31,2,3,11,2,4,3,No,,,,OTT,L5
100117,2011,50,Travel_Rarely,1193,Corporate Functions,2,Doctorate,1,660,1,Male,95,3,2,Married,18146,7892,1,Y,No,11,3,3,80,0,31,2,3,11,2,4,3,No,,,,NYC,L6
100118,2011,50,Travel_Rarely,581,Corporate Functions,3,Doctorate,1,834,2,Male,36,2,1,Married,16817,9973,1,Y,No,11,3,1,80,0,31,3,4,11,2,1,5,No,,,,OTT,L6
100119,2011,50,Travel_Rarely,885,Corporate Functions,1,Masters,1,929,1,Male,95,3,1,Married,17895,4596,1,Y,No,11,3,4,80,0,30,3,2,11,3,5,3,No,,,,BOS,L6
100120,2011,42,Travel_Rarely,419,Corporate Functions,8,Doctorate,1,734,3,Male,63,2,4,Married,10321,4924,1,Y,Yes,11,5,1,80,1,22,5,2,8,3,3,3,Yes,2019,offered more money,Voluntary,CAL,L3
100121,2011,52,Travel_Rarely,294,Corporate Functions,6,Bachelors,1,1040,4,Male,82,3,1,Divorced,19633,19127,2,Y,No,21,3,1,80,0,32,4,2,11,4,4,4,No,,,,NYC,L6
100122,2012,52,Travel_Rarely,541,Corporate Functions,10,Doctorate,1,1732,3,Male,65,2,3,Married,10397,15273,1,Y,No,15,4,2,80,1,29,3,3,9,2,1,3,Yes,2021,career change,Voluntary,TOR,L6
